PERMNO,date,TICKER,RET,RETX
86453,13/10/2020,XLY,-0.000193,-0.000193
86453,14/10/2020,XLY,-0.011068,-0.011068
86453,15/10/2020,XLY,0.003709,0.003709
86453,16/10/2020,XLY,-0.009076,-0.009076
86453,19/10/2020,XLY,-0.012300,-0.012300
86453,20/10/2020,XLY,0.008015,0.008015
86453,21/10/2020,XLY,-0.005454,-0.005454
86453,22/10/2020,XLY,0.002048,0.002048
86453,23/10/2020,XLY,0.008770,0.008770
86453,26/10/2020,XLY,-0.019217,-0.019217
86453,27/10/2020,XLY,-0.000467,-0.000467
86453,28/10/2020,XLY,-0.031604,-0.031604
86453,29/10/2020,XLY,0.006334,0.006334
86453,30/10/2020,XLY,-0.021825,-0.021825
86453,02/11/2020,XLY,0.007134,0.007134
86453,03/11/2020,XLY,0.022015,0.022015
86453,04/11/2020,XLY,0.021269,0.021269
86453,05/11/2020,XLY,0.019496,0.019496
86453,06/11/2020,XLY,-0.003002,-0.003002
86453,09/11/2020,XLY,-0.003273,-0.003273
86453,10/11/2020,XLY,-0.003547,-0.003547
86453,11/11/2020,XLY,0.008766,0.008766
86453,12/11/2020,XLY,-0.013394,-0.013394
86453,13/11/2020,XLY,0.016225,0.016225
86453,16/11/2020,XLY,0.013099,0.013099
86453,17/11/2020,XLY,-0.004245,-0.004245
86453,18/11/2020,XLY,-0.006848,-0.006848
86453,19/11/2020,XLY,0.004943,0.004943
86453,20/11/2020,XLY,-0.005243,-0.005243
86453,23/11/2020,XLY,0.010996,0.010996
86453,24/11/2020,XLY,0.014867,0.014867
86453,25/11/2020,XLY,0.001205,0.001205
86453,27/11/2020,XLY,0.002154,0.002154
86453,30/11/2020,XLY,-0.006068,-0.006068
86453,01/12/2020,XLY,0.007440,0.007440
86453,02/12/2020,XLY,-0.006249,-0.006249
86453,03/12/2020,XLY,0.002795,0.002795
86453,04/12/2020,XLY,0.000950,0.000950
86453,07/12/2020,XLY,-0.002278,-0.002278
86453,08/12/2020,XLY,-0.002093,-0.002093
